YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 01 01 999 99.0 99.0  2.35 10.81  6.74 309 9999.0 999.0 999.0 999.0 99.0
98 01 01 02 999 99.0 99.0  2.32 11.43  6.72 300 9999.0 999.0 999.0 999.0 99.0
98 01 01 03 999 99.0 99.0  2.16 11.43  6.06 289 9999.0 999.0 999.0 999.0 99.0
98 01 01 04 999 99.0 99.0  2.25 11.43  6.58 296 9999.0 999.0 999.0 999.0 99.0
98 01 01 05 999 99.0 99.0  2.08 11.43  6.29 300 9999.0 999.0 999.0 999.0 99.0
98 01 01 06 999 99.0 99.0  2.17 10.81  6.34 302 9999.0 999.0 999.0 999.0 99.0
98 01 01 07 999 99.0 99.0  1.99 11.43  6.07 307 9999.0 999.0 999.0 999.0 99.0
98 01 01 08 999 99.0 99.0  2.16 10.81  5.79 295 9999.0 999.0 999.0 999.0 99.0
98 01 01 09 999 99.0 99.0  2.21 10.81  5.67 306 9999.0 999.0 999.0 999.0 99.0
98 01 01 10 999 99.0 99.0  2.17 10.81  5.89 310 9999.0 999.0 999.0 999.0 99.0
98 01 01 11 999 99.0 99.0  2.16 10.81  5.60 301 9999.0 999.0 999.0 999.0 99.0
98 01 01 12 999 99.0 99.0  2.27  6.67  5.74 195 9999.0 999.0 999.0 999.0 99.0
98 01 01 13 999 99.0 99.0  2.31 10.81  6.00 299 9999.0 999.0 999.0 999.0 99.0
98 01 01 14 999 99.0 99.0  2.17 10.00  6.19 306 9999.0 999.0 999.0 999.0 99.0
98 01 01 15 999 99.0 99.0  2.35  7.14  6.37 186 9999.0 999.0 999.0 999.0 99.0
98 01 01 16 999 99.0 99.0  2.56  7.69  6.78 185 9999.0 999.0 999.0 999.0 99.0
98 01 01 17 999 99.0 99.0  2.53  8.33  6.61 196 9999.0 999.0 999.0 999.0 99.0
98 01 01 18 999 99.0 99.0  3.14  8.33  6.28 190 9999.0 999.0 999.0 999.0 99.0
98 01 01 19 999 99.0 99.0  3.50  7.69  6.36 189 9999.0 999.0 999.0 999.0 99.0
98 01 01 20 999 99.0 99.0  3.37  9.09  6.67 192 9999.0 999.0 999.0 999.0 99.0
98 01 01 21 999 99.0 99.0  3.06  8.33  6.87 183 9999.0 999.0 999.0 999.0 99.0
98 01 01 22 999 99.0 99.0  3.34  9.09  6.61 196 9999.0 999.0 999.0 999.0 99.0
98 01 01 23 999 99.0 99.0  3.53 10.00  6.61 195 9999.0 999.0 999.0 999.0 99.0
98 01 02 00 999 99.0 99.0  3.55  9.09  6.91 195 9999.0 999.0 999.0 999.0 99.0
98 01 02 01 999 99.0 99.0  3.37 10.00  6.76 210 9999.0 999.0 999.0 999.0 99.0
98 01 02 02 999 99.0 99.0  3.30 10.00  6.86 194 9999.0 999.0 999.0 999.0 99.0
98 01 02 03 999 99.0 99.0  3.38  9.09  7.03 222 9999.0 999.0 999.0 999.0 99.0
98 01 02 04 999 99.0 99.0  3.15 10.00  7.13 227 9999.0 999.0 999.0 999.0 99.0
98 01 02 05 999 99.0 99.0  3.08  9.09  7.02 243 9999.0 999.0 999.0 999.0 99.0
98 01 02 06 999 99.0 99.0  3.19 10.00  6.94 262 9999.0 999.0 999.0 999.0 99.0
98 01 02 07 999 99.0 99.0  3.39  8.33  6.95 280 9999.0 999.0 999.0 999.0 99.0
98 01 02 08 999 99.0 99.0  3.53 11.43  7.26 300 9999.0 999.0 999.0 999.0 99.0
98 01 02 09 999 99.0 99.0  3.76 10.00  7.33 306 9999.0 999.0 999.0 999.0 99.0
98 01 02 10 999 99.0 99.0  3.99 10.81  7.42 307 9999.0 999.0 999.0 999.0 99.0
98 01 02 11 999 99.0 99.0  3.70 11.43  7.15 305 9999.0 999.0 999.0 999.0 99.0
98 01 02 12 999 99.0 99.0  4.04 10.00  7.60 304 9999.0 999.0 999.0 999.0 99.0
98 01 02 13 999 99.0 99.0  3.62 10.81  6.97 311 9999.0 999.0 999.0 999.0 99.0
98 01 02 14 999 99.0 99.0  3.61 11.43  7.31 299 9999.0 999.0 999.0 999.0 99.0
98 01 02 15 999 99.0 99.0  3.27 11.43  7.59 303 9999.0 999.0 999.0 999.0 99.0
98 01 02 16 999 99.0 99.0  3.41 10.81  7.64 305 9999.0 999.0 999.0 999.0 99.0
98 01 02 17 999 99.0 99.0  3.48 11.43  7.87 309 9999.0 999.0 999.0 999.0 99.0
98 01 02 18 999 99.0 99.0  3.14 10.81  7.87 297 9999.0 999.0 999.0 999.0 99.0
98 01 02 19 999 99.0 99.0  3.06 11.43  7.73 303 9999.0 999.0 999.0 999.0 99.0
98 01 02 20 999 99.0 99.0  2.99 11.43  7.87 308 9999.0 999.0 999.0 999.0 99.0
98 01 02 21 999 99.0 99.0  3.18 10.81  8.12 308 9999.0 999.0 999.0 999.0 99.0
98 01 02 22 999 99.0 99.0  3.34 10.81  8.31 308 9999.0 999.0 999.0 999.0 99.0
98 01 02 23 999 99.0 99.0  2.90 10.81  7.89 316 9999.0 999.0 999.0 999.0 99.0
98 01 03 00 999 99.0 99.0  2.68 10.81  7.60 305 9999.0 999.0 999.0 999.0 99.0
98 01 03 01 999 99.0 99.0  2.97 10.81  7.84 306 9999.0 999.0 999.0 999.0 99.0
98 01 03 02 999 99.0 99.0  2.65 10.81  7.62 309 9999.0 999.0 999.0 999.0 99.0
98 01 03 03 999 99.0 99.0  2.23 10.81  7.27 302 9999.0 999.0 999.0 999.0 99.0
98 01 03 04 999 99.0 99.0  2.20 10.81  7.26 293 9999.0 999.0 999.0 999.0 99.0
98 01 03 05 999 99.0 99.0  1.96 10.81  6.94 291 9999.0 999.0 999.0 999.0 99.0
98 01 03 06 999 99.0 99.0  1.72 10.00  6.14 304 9999.0 999.0 999.0 999.0 99.0
98 01 03 07 999 99.0 99.0 99.00 99.00 99.00 307 9999.0 999.0 999.0 999.0 99.0
98 01 03 08 999 99.0 99.0  1.80 10.00  6.05 299 9999.0 999.0 999.0 999.0 99.0
98 01 03 09 999 99.0 99.0  1.99 10.81  5.66 305 9999.0 999.0 999.0 999.0 99.0
98 01 03 10 999 99.0 99.0  1.97 10.81  5.71 306 9999.0 999.0 999.0 999.0 99.0
98 01 03 11 999 99.0 99.0  2.01 10.81  5.38 307 9999.0 999.0 999.0 999.0 99.0
98 01 03 12 999 99.0 99.0  2.02 10.00  5.63 304 9999.0 999.0 999.0 999.0 99.0
98 01 03 13 999 99.0 99.0  1.89 10.81  5.33 291 9999.0 999.0 999.0 999.0 99.0
98 01 03 14 999 99.0 99.0  1.92 10.00  5.48 293 9999.0 999.0 999.0 999.0 99.0
98 01 03 15 999 99.0 99.0  1.84 14.81  5.27 296 9999.0 999.0 999.0 999.0 99.0
98 01 03 16 999 99.0 99.0  1.81 13.79  5.22 290 9999.0 999.0 999.0 999.0 99.0
98 01 03 17 999 99.0 99.0  1.87 14.81  5.06 285 9999.0 999.0 999.0 999.0 99.0
98 01 03 18 999 99.0 99.0  1.77 13.79  4.91 286 9999.0 999.0 999.0 999.0 99.0
98 01 03 19 999 99.0 99.0  1.82 14.81  4.86 304 9999.0 999.0 999.0 999.0 99.0
98 01 03 20 999 99.0 99.0  1.87  5.56  5.03 202 9999.0 999.0 999.0 999.0 99.0
98 01 03 21 999 99.0 99.0 99.00 99.00 99.00 202 9999.0 999.0 999.0 999.0 99.0
98 01 03 22 999 99.0 99.0  2.08  7.69  5.28 207 9999.0 999.0 999.0 999.0 99.0
98 01 03 23 999 99.0 99.0  2.43  7.69  5.89 211 9999.0 999.0 999.0 999.0 99.0
98 01 04 00 999 99.0 99.0  2.48  7.14  5.72 202 9999.0 999.0 999.0 999.0 99.0
98 01 04 01 999 99.0 99.0  2.62  7.69  5.94 195 9999.0 999.0 999.0 999.0 99.0
98 01 04 02 999 99.0 99.0  2.50  8.33  5.96 201 9999.0 999.0 999.0 999.0 99.0
