YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 172  5.4  6.3  2.63 14.29  9.04 276 1020.9   9.7   9.7   7.5 99.0 99.00
2001 01 01 01 158  6.3  8.1  2.92 14.29  9.47 286 1020.4   9.8   9.7   7.4 99.0 99.00
2001 01 01 02 203  5.3  6.2  2.89 14.29  9.51 281 1022.5   9.8   9.7   8.1 99.0 99.00
2001 01 01 03 208  4.8  6.2  2.86 14.29  8.97 281 1022.9   9.8  10.2   7.9 99.0 99.00
2001 01 01 04 153  5.0  6.2  2.89 14.29  9.15 281 1021.9   9.7  10.2   8.1 99.0 99.00
2001 01 01 05 163  3.4  4.1  2.45 12.50  8.39 280 1022.6   9.8  10.2   7.8 99.0 99.00
2001 01 01 06 124  7.4  9.2  2.92 14.29  9.53 285 1021.0   9.7  10.2   8.1 99.0 99.00
2001 01 01 07 193  5.6  6.7  2.57 14.29  9.04 282 1024.0  10.0  10.2   8.1 99.0 99.00
2001 01 01 08 201  4.2  5.1  2.79 14.29  9.37 279 1024.4   9.7  10.2   8.2 99.0 99.00
2001 01 01 09 177  3.7  4.5  2.87 14.29  9.48 283 1024.2   9.7  10.2   8.1 99.0 99.00
2001 01 01 10 176  4.0  4.7  2.72 14.29  9.43 282 1024.4   9.8  10.2   8.2 99.0 99.00
2001 01 01 11 145  4.0  5.2  2.80 14.29  9.95 282 1024.7   9.8  10.2   8.1 99.0 99.00
2001 01 01 12 149  3.3  4.2  2.42 14.29  9.38 283 1025.1   9.8  10.2   8.1 99.0 99.00
2001 01 01 13 118  4.1  5.4  2.62 14.29  9.81 282 1025.1   9.7  10.2   8.2 99.0 99.00
2001 01 01 14  99  4.7  6.2  2.75 12.50  9.68 279 1025.4   8.9   9.8   7.1 99.0 99.00
2001 01 01 15  90  4.7  6.6  2.90 14.29  9.93 281 1026.0   8.6  10.2   6.8 99.0 99.00
2001 01 01 16  73  5.2  7.0  2.62 12.50  9.13 281 1025.7   8.5  10.2   6.7 99.0 99.00
2001 01 01 17  86  5.1  6.8  2.58 12.50  9.13 288 1025.7   8.2  10.2   6.2 99.0 99.00
2001 01 01 18  76  6.4  8.0  2.62 11.11  8.82 279 1025.2   8.7  10.2   6.0 99.0 99.00
2001 01 01 19  75  7.1  9.1  2.87 14.29  8.80 275 1024.5   8.5  10.2   6.0 99.0 99.00
2001 01 01 20  57  5.4  6.9  2.77 12.50  8.26 281 1024.7   8.6  10.2   5.7 99.0 99.00
2001 01 01 21  42  6.8  8.6  2.80 14.29  8.81 275 1024.6   9.0  10.2   5.4 99.0 99.00
2001 01 01 22  32  5.4  6.8  2.70 12.50  8.29 280 1023.4   9.1  10.2   6.1 99.0 99.00
2001 01 01 23  38  3.1  4.2  2.92 11.11  9.09 279 1023.3   9.7   9.8   6.3 99.0 99.00
2001 01 02 00  66  5.4  7.4  3.03 20.00  9.92 276 1022.0  10.2   9.8   6.0 99.0 99.00
2001 01 02 01  76  7.2  9.4  3.82 20.00 10.93 274 1020.7  10.5   9.8   6.3 99.0 99.00
2001 01 02 02  66  8.3 10.6  3.20 20.00  9.80 271 1019.2  10.5   9.8   5.8 99.0 99.00
2001 01 02 03  90  6.8  8.9  3.70 20.00 10.52 274 1019.7  10.6   9.8   5.1 99.0 99.00
2001 01 02 04 117  4.1  6.0  3.69 16.67 10.74 270 1020.1  10.6   9.8   6.1 99.0 99.00
2001 01 02 05 158  2.1  3.2  3.98 16.67 11.50 270 1020.4  10.9   9.8   6.8 99.0 99.00
2001 01 02 06 177  2.2  3.2  3.72 16.67 11.42 271 1020.8  10.6   9.8   7.0 99.0 99.00
2001 01 02 07 137  4.1  5.7  4.48 16.67 12.60 273 1021.1  10.9   9.8   6.8 99.0 99.00
2001 01 02 08 139  3.6  5.2  4.25 16.67 12.02 275 1021.1  11.0   9.8   7.0 99.0 99.00
2001 01 02 09 152  4.7  5.8  4.72 16.67 12.40 276 1021.0  11.0   9.8   7.2 99.0 99.00
2001 01 02 10 121  2.5  4.6  4.05 16.67 11.50 278 1021.4  10.6   9.8   7.6 99.0 99.00
2001 01 02 11  83  2.3  4.8  4.04 16.67 11.55 271 1021.9  10.6   9.8   7.6 99.0 99.00
2001 01 02 12 111  3.5  5.4  3.98 14.29 11.43 277 1022.1  10.3   9.7   6.4 99.0 99.00
2001 01 02 13 114  1.9  3.6  3.74 14.29 10.30 278 1022.6  10.2   9.7   6.2 99.0 99.00
2001 01 02 14  69  2.4  5.4  3.60 14.29 10.22 272 1023.1  10.2   9.7   7.0 99.0 99.00
2001 01 02 15 101  6.8  8.9  3.98 14.29 10.41 276 1022.3  10.2   9.7   5.7 99.0 99.00
2001 01 02 16 102  5.3  7.7  3.09 14.29  8.36 275 1022.6  10.3   9.7   5.1 99.0 99.00
2001 01 02 17 119  3.9  5.7  3.56 14.29  9.45 272 1022.6  10.5   9.8   5.5 99.0 99.00
2001 01 02 18 117  3.8  5.2  2.79 14.29  8.42 272 1022.6  10.6   9.8   6.6 99.0 99.00
2001 01 02 19 126  3.6  5.1  3.41 14.29 10.13 273 1023.0  11.0  10.2   6.3 99.0 99.00
2001 01 02 20 125  3.5  5.2  2.89 14.29  9.22 271 1022.4  11.0  10.2   6.7 99.0 99.00
2001 01 02 21 128  4.4  5.3  2.90 12.50  9.03 275 1022.0  11.1  10.2   6.8 99.0 99.00
2001 01 02 22  98  3.1  4.3  2.75 14.29  9.42 269 1021.7  11.0  10.2   6.9 99.0 99.00
2001 01 02 23 122  3.6  4.7  2.42 14.29  8.91 274 1022.0  11.0  10.2   6.5 99.0 99.00
2001 01 03 00 110  3.1  4.6  2.84 14.29  9.93 278 1022.1  11.0  10.2   7.0 99.0 99.00
2001 01 03 01 133  5.2  6.8  2.72 14.29 10.08 279 1022.0  11.4  10.2   6.4 99.0 99.00
2001 01 03 02 150  5.9  7.3  2.55 12.50  9.35 276 1021.9  11.8  10.2   6.5 99.0 99.00
2001 01 03 03 173  6.4  7.4  2.56 12.50  9.20 273 1021.9  12.1  10.2   6.4 99.0 99.00
2001 01 03 04 152  6.5  8.3  2.60 12.50  8.88 272 1021.8  12.0  10.2   6.3 99.0 99.00
2001 01 03 05 165  6.3  7.3  2.83 12.50  8.63 277 1022.0  11.8  10.2   6.2 99.0 99.00
2001 01 03 06 158  4.6  5.4  2.48 12.50  8.05 279 1021.9  11.5  10.2   6.5 99.0 99.00
2001 01 03 07 166  7.3  8.7  3.05 12.50  8.64 276 1022.3  12.0  10.2   5.9 99.0 99.00
2001 01 03 08 170  8.1  9.4  2.72 12.50  7.97 274 1022.4  12.6  10.2   4.7 99.0 99.00
2001 01 03 09 170  8.7 10.8  2.62 12.50  7.41 274 1022.7  12.0  10.2   5.8 99.0 99.00
2001 01 03 10 176  7.8  9.8  2.67 12.50  7.46 269 1022.6  11.1  10.2   7.2 99.0 99.00
2001 01 03 11 175  8.6 10.2  2.78 12.50  7.39 276 1022.1  10.9  10.2   8.1 99.0 99.00
2001 01 03 12 186  8.0 10.1  2.33 12.50  6.60 276 1022.9  10.6  10.2   8.5 99.0 99.00
