#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC   mi    ft
2004 01 01 00 00 262  3.1  5.7  4.02 12.50  9.34 285 1006.4   6.7  10.2 999.0 99.0 99.00
2004 01 01 01 00 243  6.0 10.0  3.98 16.67  9.25 273 1006.4   7.4  10.2 999.0 99.0 99.00
2004 01 01 02 00 210  2.3  4.3  3.80 12.50  8.95 282 1006.4   6.6  10.2 999.0 99.0 99.00
2004 01 01 03 00 251  4.1  5.9  3.65 16.67  9.09 277 1006.2   7.0  10.3 999.0 99.0 99.00
2004 01 01 04 00 225  3.1  4.5  4.35 14.29 10.22 278 1006.0   7.1  10.3 999.0 99.0 99.00
2004 01 01 05 00 208  3.3  5.2  3.76 16.67  9.96 274 1005.7   7.1  10.2 999.0 99.0 99.00
2004 01 01 06 00 175  4.3  5.7  3.82 14.29  9.84 276 1006.0   7.2  10.2 999.0 99.0 99.00
2004 01 01 07 00 155  5.7  8.2  3.70 14.29  9.64 277 1005.4   7.1  10.2 999.0 99.0 99.00
2004 01 01 08 00 143  5.8  8.2  3.91 14.29  9.46 275 1004.3   6.5  10.2 999.0 99.0 99.00
2004 01 01 09 00 138  6.4  8.4  3.80 14.29  9.15 271 1003.8   6.7  10.2 999.0 99.0 99.00
2004 01 01 10 00 138  7.4  9.7  4.41 14.29  9.90 274 1002.3   6.3  10.2 999.0 99.0 99.00
2004 01 01 11 00 130  9.0 11.4  4.18 14.29  9.47 278 1001.2   6.1  10.2 999.0 99.0 99.00
2004 01 01 12 00  85  5.5  7.9  3.68 14.29  9.13 284 1000.1   6.0  10.2 999.0 99.0 99.00
2004 01 01 13 00  64  6.7  9.2  4.17 14.29  9.87 275  998.0   5.6  10.2 999.0 99.0 99.00
2004 01 01 14 00  68  8.7 10.7  3.66 14.29  8.90 283  996.1   5.5  10.2 999.0 99.0 99.00
2004 01 01 15 00  53  7.9  9.8  4.03 14.29  8.78 282  995.1   5.5  10.2 999.0 99.0 99.00
2004 01 01 16 00  48  8.3 10.6  3.41 12.50  8.45 282  994.5   5.3  10.2 999.0 99.0 99.00
2004 01 01 17 00  21  7.0  9.8  3.41 14.29  9.05 285  995.0   4.8  10.2 999.0 99.0 99.00
2004 01 01 18 00  13  7.1 10.8  3.35 14.29  8.94 288  995.4   4.8  10.2 999.0 99.0 99.00
2004 01 01 19 00  18  7.7  9.4  3.31 14.29  8.59 291  996.0   4.6  10.2 999.0 99.0 99.00
2004 01 01 20 00 360  7.1  9.5  3.12 12.50  8.51 292  996.5   5.1  10.2 999.0 99.0 99.00
2004 01 01 21 00  31  5.6  7.4  3.30 14.29  9.20 290  997.4   5.3  10.2 999.0 99.0 99.00
2004 01 01 22 00  77  2.0  3.3  3.09 14.29  9.28 277  998.6   5.5  10.2 999.0 99.0 99.00
2004 01 01 23 00  20  1.5  3.0  3.46 14.29  9.89 287 1000.0   4.5  10.2 999.0 99.0 99.00
2004 01 02 00 00 235  5.5  8.2  3.20 14.29  9.87 275 1001.0   4.3  10.2 999.0 99.0 99.00
2004 01 02 01 00 208  4.6  7.0  2.95 12.50 10.11 276 1001.7   5.0  10.2 999.0 99.0 99.00
2004 01 02 02 00 211  6.7  8.2  2.94 14.29  9.75 275 1002.0   5.3  10.2 999.0 99.0 99.00
2004 01 02 03 00 276  4.6  7.5  3.23 14.29  9.86 274 1002.9   5.1  10.2 999.0 99.0 99.00
2004 01 02 04 00 271  3.5  5.8  2.97 11.11  8.48 272 1003.8   5.2  10.2 999.0 99.0 99.00
2004 01 02 05 00 291  7.0 10.6  3.06 12.50  8.72 277 1004.8   3.9  10.2 999.0 99.0 99.00
2004 01 02 06 00 302  4.6  6.4  3.49 11.11  8.81 277 1005.8   4.7  10.2 999.0 99.0 99.00
2004 01 02 07 00 325  4.9  7.1  3.07 12.50  8.53 285 1006.5   5.2   9.9 999.0 99.0 99.00
2004 01 02 08 00 322  4.6  6.6  3.08 14.29  8.28 287 1007.2   5.6   9.8 999.0 99.0 99.00
2004 01 02 09 00  15  0.9  2.5  3.35 12.50  8.85 287 1008.2   4.0   9.8 999.0 99.0 99.00
2004 01 02 10 00 224  4.4  7.2  3.42 12.50  8.74 280 1008.8   5.2   9.7 999.0 99.0 99.00
2004 01 02 11 00 215  3.7  5.3  2.97 14.29  8.30 280 1009.6   5.1   9.8 999.0 99.0 99.00
2004 01 02 12 00 208  1.6  4.9  3.50 12.50  8.73 281 1010.4   4.3   9.8 999.0 99.0 99.00
2004 01 02 13 00 165  2.8  4.1  3.26 12.50  8.43 283 1010.0   4.0   9.7 999.0 99.0 99.00
2004 01 02 14 00 188  3.8  5.9  3.11 14.29  8.64 277 1010.2   5.0   9.8 999.0 99.0 99.00
2004 01 02 15 00 196  3.3  5.4  2.95 12.50  8.51 279 1010.5   5.2  10.1 999.0 99.0 99.00
2004 01 02 16 00  35  3.9  5.7  3.54 12.50  8.87 286 1010.8   5.4  10.2 999.0 99.0 99.00
