#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 153  6.0  6.9  2.79 12.50  8.32 263 1024.9   8.6 999.0 999.0 99.0 99.00
2007 01 01 01 00 153  5.6  7.2  2.44 12.50  8.09 274 1024.9   8.6 999.0 999.0 99.0 99.00
2007 01 01 02 00 138  6.0  7.2  2.54 12.50  8.25 273 1024.7   8.6 999.0 999.0 99.0 99.00
2007 01 01 03 00 145  6.7  8.1  2.16 12.50  7.62 266 1024.3   9.0 999.0 999.0 99.0 99.00
2007 01 01 04 00 147  7.2  8.7  2.47 12.50  8.06 262 1024.0   9.0 999.0 999.0 99.0 99.00
2007 01 01 05 00 154  6.4  7.5  2.41 12.50  7.75 269 1024.2   9.0 999.0 999.0 99.0 99.00
2007 01 01 06 00 159  7.0  8.1  2.31 12.50  7.64 276 1024.7   9.4 999.0 999.0 99.0 99.00
2007 01 01 07 00 146  7.4  8.8  2.26 11.11  6.92 261 1024.2   9.5 999.0 999.0 99.0 99.00
2007 01 01 08 00 166  9.3 11.0  2.70 12.50  7.29 269 1024.2   9.8 999.0 999.0 99.0 99.00
2007 01 01 09 00 172  9.6 11.7  2.31 12.50  6.60 253 1024.4   9.5 999.0 999.0 99.0 99.00
2007 01 01 10 00 167 10.1 12.0  2.24 11.11  6.11 269 1024.0   9.4 999.0 999.0 99.0 99.00
2007 01 01 11 00 165 10.4 12.5  2.43 11.11  6.37 266 1024.2   9.4 999.0 999.0 99.0 99.00
2007 01 01 12 00 168  9.8 12.4  2.52 11.11  6.04 265 1024.2   9.5 999.0 999.0 99.0 99.00
2007 01 01 13 00 166 10.8 12.8  2.51 12.50  5.90 261 1023.2   9.7 999.0 999.0 99.0 99.00
2007 01 01 14 00 172 11.6 14.0  2.55 11.11  6.00 261 1022.6   9.6 999.0 999.0 99.0 99.00
2007 01 01 15 00 172 12.6 15.1  2.71 11.11  5.90 254 1022.3   9.0 999.0 999.0 99.0 99.00
2007 01 01 16 00 176 13.5 16.9  2.96 11.11  6.23 256 1022.0   9.4 999.0 999.0 99.0 99.00
2007 01 01 17 00 175 12.7 15.3  2.84  5.88  5.80 999 1021.7   9.7 999.0 999.0 99.0 99.00
2007 01 01 18 00 168 14.2 17.3  2.92  6.67  5.85 200 1020.7   9.8 999.0 999.0 99.0 99.00
2007 01 01 19 00 173 14.3 17.9  2.99  6.67  5.81 193 1020.6   9.4 999.0 999.0 99.0 99.00
2007 01 01 20 00 182 13.1 15.3  3.29  6.67  6.01 191 1021.1   9.4 999.0 999.0 99.0 99.00
2007 01 01 21 00 182 13.9 16.0  3.33  7.14  6.25 196 1020.3   9.8 999.0 999.0 99.0 99.00
