#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2012 12 31 23 50  86  8.3 10.8  2.92 16.00  8.05 283 1024.5   5.9  10.5 999.0 99.0 99.00
2013 01 01 00 50  94  7.1  9.3  3.35 17.39  9.44 282 1025.3   6.2  10.6 999.0 99.0 99.00
2013 01 01 01 50  95  5.6  7.1  3.41 16.00  9.84 281 1025.8   6.6  10.5 999.0 99.0 99.00
2013 01 01 02 50  72  7.9  9.9  3.28 17.39 10.02 284 1026.3   5.9  10.5 999.0 99.0 99.00
2013 01 01 03 50  68  5.7  7.6  3.74 16.00 10.55 290 1026.9   5.7  10.4 999.0 99.0 99.00
2013 01 01 04 50  80  7.2  9.2  2.89 16.00  9.47 287 1027.0   5.6  10.4 999.0 99.0 99.00
2013 01 01 05 50  82  8.3 10.6  3.78 14.81 10.15 289 1027.6   5.6  10.5 999.0 99.0 99.00
2013 01 01 06 50  88  7.3  9.8  3.67 14.81 10.25 279 1028.2   5.7  10.5 999.0 99.0 99.00
2013 01 01 07 50  82  7.3  9.6  3.73 14.81  9.51 291 1028.5   5.5  10.5 999.0 99.0 99.00
2013 01 01 08 50  82  6.0  7.9  4.16 16.00 10.61 294 1028.6   6.0  10.5 999.0 99.0 99.00
2013 01 01 09 50  87  8.0 10.8  3.74 16.00  9.76 281 1028.2   5.6  10.5 999.0 99.0 99.00
2013 01 01 10 50  83  8.9 11.4  3.36 13.79  8.90 289 1028.2   5.7  10.5 999.0 99.0 99.00
2013 01 01 11 50  85  8.0  9.8  3.21 14.81  9.01 293 1028.1   5.4  10.5 999.0 99.0 99.00
2013 01 01 12 50  86  9.3 11.2  3.99 14.81  9.89 289 1028.0   5.2  10.5 999.0 99.0 99.00
2013 01 01 13 50  87  9.3 11.4  3.03 16.00  8.30 287 1028.0   5.1  10.5 999.0 99.0 99.00
2013 01 01 14 50  89  8.3 10.1  3.33 16.00  9.14 297 1028.2   5.3  10.4 999.0 99.0 99.00
2013 01 01 15 50 108  8.3 10.1  3.31 14.81  8.83 285 1027.9   6.1  10.4 999.0 99.0 99.00
2013 01 01 16 50 100  7.9  9.7  2.85 14.81  8.14 288 1028.5   6.1  10.4 999.0 99.0 99.00
2013 01 01 17 50  88  8.1  9.8  3.15 14.81  9.23 292 1029.0   5.4  10.5 999.0 99.0 99.00
2013 01 01 18 50  90  7.9 10.0  3.07 14.81  8.93 295 1029.2   5.6  10.5 999.0 99.0 99.00
2013 01 01 19 50  93  7.6  9.1  2.61 16.00  8.41 293 1028.3   5.6  10.5 999.0 99.0 99.00
2013 01 01 20 50  99  7.4  9.2  2.74 14.81  8.43 301 1027.2   6.6  10.5 999.0 99.0 99.00
2013 01 01 21 50  99  7.4  9.1  3.11 13.79  9.34 292 1026.4   7.1  10.5 999.0 99.0 99.00
2013 01 01 22 50  99  6.9  9.2  2.52 12.90  8.48 285 1026.2   7.6  10.5 999.0 99.0 99.00
2013 01 01 23 50  96  6.7  8.0  2.47 13.79  8.51 296 1026.2   7.7  10.5 999.0 99.0 99.00
2013 01 02 00 50  93  8.5 10.0  2.31 12.90  8.06 287 1025.7   7.5  10.5 999.0 99.0 99.00
2013 01 02 01 50  98  9.1 11.0  2.13 12.12  7.37 298 1024.9   7.7  10.5 999.0 99.0 99.00
2013 01 02 02 50 103  8.6 10.2  2.17 12.12  7.24 290 1024.6   7.5  10.5 999.0 99.0 99.00
2013 01 02 03 50 106  8.4  9.9  2.06 12.90  6.53 285 1024.4   7.9  10.4 999.0 99.0 99.00
2013 01 02 04 50 108  8.4  9.8  1.90 13.79  6.60 287 1024.1   8.1  10.4 999.0 99.0 99.00
2013 01 02 05 50 108  8.0  9.5  1.85 12.12  5.94 282 1023.9   7.7  10.3 999.0 99.0 99.00
2013 01 02 07 50 102  9.5 10.8  1.73 14.81  5.44 283 1023.3   7.6  10.3 999.0 99.0 99.00
2013 01 02 08 50 100  8.9 10.9  1.85 12.12  5.60 276 1022.8   7.6  10.3 999.0 99.0 99.00
2013 01 02 09 50  99  9.0 10.5  1.95 16.00  6.01 274 1022.5   7.6  10.2 999.0 99.0 99.00
2013 01 02 10 50  99  8.9 10.2  1.83 16.00  5.96 275 1022.2   7.8  10.2 999.0 99.0 99.00
2013 01 02 11 50 104  9.5 11.0  2.11 16.00  6.34 280 1022.0   7.8  10.2 999.0 99.0 99.00
2013 01 02 12 50 100  9.4 11.2  1.99 16.00  6.33 290 1021.7   7.8  10.2 999.0 99.0 99.00
2013 01 02 13 50 101  9.6 11.7  1.88 16.00  5.75 279 1021.4   7.6  10.2 999.0 99.0 99.00
2013 01 02 14 50 104 10.6 12.7  2.09 16.00  6.06 285 1021.2   7.3  10.2 999.0 99.0 99.00
2013 01 02 15 50 105  9.4 11.7  2.14 14.81  6.31 276 1021.6   7.4  10.1 999.0 99.0 99.00
2013 01 02 16 50 106 10.0 12.0  2.24 16.00  6.64 279 1021.7   7.3  10.1 999.0 99.0 99.00
2013 01 02 17 50 107  9.2 11.7  2.15 16.00  6.60 281 1022.4   7.6  10.1 999.0 99.0 99.00
2013 01 02 18 50 107  9.5 11.5  2.17 14.81  6.54 282 1022.4   7.6  10.2 999.0 99.0 99.00
2013 01 02 19 50 111  8.7 10.7  2.23 14.81  6.78 283 1022.0   8.0  10.2 999.0 99.0 99.00
2013 01 02 20 50 112  7.9  9.3  2.49 14.81  7.40 283 1021.5   8.4  10.2 999.0 99.0 99.00
2013 01 02 21 50 108  7.4  9.0  2.20 14.81  6.78 283 1021.2   8.6  10.2 999.0 99.0 99.00
2013 01 02 22 50 102  7.9  9.7  2.02 14.81  6.41 280 1021.0   8.8  10.2 999.0 99.0 99.00
2013 01 02 23 50  96  9.7 11.5  2.21 14.81  6.76 291 1020.5   8.7  10.2 999.0 99.0 99.00
