#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 12 31 23 50  28  3.7  4.4  2.45 12.12  9.00 306 1031.9   7.3   9.0   0.2 99.0 99.00
2019 01 01 00 50  38  4.4  5.4  2.13 12.12  8.60 301 1031.1   7.3   8.9   1.0 99.0 99.00
2019 01 01 01 50  30  3.3  4.1  2.04 12.12  8.50 298 1031.4   7.3   8.9   0.2 99.0 99.00
2019 01 01 02 50  57  4.5  5.4  1.70 12.12  8.32 295 1031.3   7.4   8.8   1.6 99.0 99.00
2019 01 01 03 50  73  4.5  5.6  2.06 12.12  8.99 302 1030.9   7.4   8.8   2.1 99.0 99.00
2019 01 01 04 50  68  4.7  5.9  1.69 11.43  8.60 301 1030.5   7.3   8.8   2.5 99.0 99.00
2019 01 01 05 50  77  4.4  5.5  1.67 11.43  8.06 301 1030.0   7.0   8.8   3.6 99.0 99.00
2019 01 01 06 50  70  3.3  4.4  1.84 11.43  8.79 306 1030.3   6.9   8.7   3.1 99.0 99.00
2019 01 01 07 50  80  5.0  6.2  1.67 11.43  8.53 296 1029.8   6.8   8.7   2.8 99.0 99.00
2019 01 01 08 50  87  5.4  7.0  1.84 10.81  8.59 297 1030.1   6.7   8.7   2.6 99.0 99.00
2019 01 01 09 50  66  4.4  5.4  1.93 11.43  8.36 305 1030.8   6.6   8.7   2.6 99.0 99.00
2019 01 01 10 50  71  3.7  4.6  1.79 11.43  8.27 305 1030.9   6.6   8.7   3.1 99.0 99.00
2019 01 01 11 50  80  3.4  4.6  1.80 19.05  8.68 323 1030.6   6.5   8.6   3.2 99.0 99.00
2019 01 01 12 50  79  3.0  4.0  2.06 11.43  8.98 295 1030.3   6.4   8.6   3.0 99.0 99.00
2019 01 01 13 50  77  2.1  3.0  1.52 10.81  7.93 297 1030.4   6.4   8.5   2.4 99.0 99.00
2019 01 01 14 50 105  2.8  3.9  1.87 17.39  8.79 290 1029.7   6.3   8.5   3.0 99.0 99.00
2019 01 01 15 50 107  2.6  3.4  1.84 17.39  9.18 341 1029.9   6.2   8.8   2.8 99.0 99.00
2019 01 01 16 50 104  3.2  4.5  1.79 17.39  9.58 286 1030.3   6.0   8.7   3.1 99.0 99.00
2019 01 01 17 50  73  2.6  3.6  1.86 17.39 10.23 288 1030.7   6.1   8.8   3.2 99.0 99.00
2019 01 01 18 50  75  2.8  3.9  1.71 17.39 10.20 303 1030.7   6.2   8.8   2.1 99.0 99.00
2019 01 01 19 50  86  2.7  4.1  2.08 17.39 11.53 292 1030.1   6.3   8.9   1.9 99.0 99.00
2019 01 01 20 50 111  2.2  3.0  2.04 17.39 11.18 294 1029.2   6.4   8.8   2.0 99.0 99.00
2019 01 01 21 50  86  1.6  2.4  2.15 17.39 11.62 293 1028.8   6.6   8.8   2.5 99.0 99.00
2019 01 01 22 50  79  1.6  2.5  1.76 16.00 10.59 297 1028.6   6.6   8.9   3.2 99.0 99.00
2019 01 01 23 50  62  1.7  2.4  1.81 16.00 10.82 300 1028.4   6.5   8.8   3.0 99.0 99.00
2019 01 02 00 50  11  2.1  2.9  1.92 16.00 11.40 301 1028.4   6.5   8.8   3.6 99.0 99.00
2019 01 02 01 50  51  0.9  1.8  1.72 16.00 10.95 293 1027.6   6.5   8.7   3.7 99.0 99.00
2019 01 02 02 50  43  2.1  2.7  1.90 14.81 11.44 295 1027.6   6.6   8.6   3.9 99.0 99.00
2019 01 02 03 50  67  1.8  2.9  1.71 16.00 10.85 305 1027.4   6.6   8.7   3.2 99.0 99.00
2019 01 02 04 50 122  2.3  3.6  1.74 14.81 11.02 296 1026.5   6.6   8.5   2.9 99.0 99.00
2019 01 02 05 50 118  1.6  2.5  2.05 14.81 11.46 283 1026.0   6.7   8.2   3.2 99.0 99.00
2019 01 02 06 50 125  0.6  1.1  1.97 14.81 11.14 301 1025.7   6.9   8.1   2.2 99.0 99.00
2019 01 02 07 50  78  0.3  1.1  2.15 14.81 11.72 290 1025.5   6.9   7.8   2.0 99.0 99.00
2019 01 02 08 50 115  2.6  4.1  2.09 14.81 11.61 292 1025.2   7.0   8.3   4.3 99.0 99.00
2019 01 02 09 50 108  4.3  5.4  2.59 14.81 12.36 289 1024.9   7.0   8.5   4.7 99.0 99.00
2019 01 02 10 50 100  4.8  6.4  2.03 14.81 11.65 298 1024.8   7.0   8.6   5.1 99.0 99.00
